Week,Company A,Company B,Company C,Company D,Company E,Company F,Company G,Company H,Company I,Company J,Company K,Company L,Company M
1,2509,2168,2074,2083,926,1981,548,197,163,630,,,
2,2523,2670,2301,2373,970,2166,736,215,191,698,,,
3,2524,2441,2768,2717,1093,2313,704,184,202,792,,,
4,2862,2580,3180,3043,1045,2436,675,234,196,845,,,
5,3238,2498,3403,2573,1129,2602,610,238,176,928,,,
6,3326,2699,3652,2912,1086,2428,593,244,202,740,,,
7,3372,2649,3675,3143,1020,2457,399,232,143,919,,,
8,3948,2770,3620,3569,1128,2576,553,231,173,857,,,
9,3241,2798,3560,3444,1170,2559,552,192,183,858,,,
10,3036,2615,3196,3294,1079,2656,463,226,150,842,,,
11,3305,2582,3889,3573,1161,2536,547,242,143,826,,,
12,3388,2666,3765,3057,1242,2458,556,246,149,846,,,
13,3329,2815,4429,3820,1289,2509,552,268,159,784,,,
14,3283,2906,4949,3456,1257,2531,623,225,132,876,,,
15,3538,2972,4499,3458,1240,2530,600,239,189,822,,,
16,3697,3304,4704,3353,1220,2479,620,188,187,836,,,
17,3760,3221,4639,3904,1192,2441,507,175,217,770,,,
18,3550,2855,5209,3056,1367,2521,362,237,129,730,,,
19,3679,3101,5804,3887,1237,2365,452,314,205,711,,,
20,3512,3895,5949,3922,1019,2494,488,384,173,780,,,
21,4323,3884,5054,4782,1299,2391,424,405,188,819,,,
22,3559,3456,4275,4013,1124,2314,382,336,202,802,,,
23,4261,4043,5045,4405,1327,2477,446,361,220,854,,,
24,4512,4030,5360,5014,1363,2472,429,365,172,791,,,
25,4628,4032,4226,4034,1465,2403,500,431,210,911,111,,
26,4531,3936,4795,4737,1413,2651,515,410,171,895,612,,
27,3826,3817,4990,4237,1344,2293,451,364,124,748,630,,
28,4485,3957,4971,4852,1616,2529,478,396,193,948,745,,
29,4991,4616,5436,4532,1674,2731,440,447,194,991,775,226,
30,5337,4113,5928,5068,1713,2562,455,407,196,956,725,597,
31,5756,4164,6579,4661,1739,2579,484,390,197,959,662,663,
32,6123,4475,6114,4464,1744,2651,588,450,192,892,649,645,
33,6598,3919,6035,3828,1697,2536,606,441,195,896,650,686,
34,6942,3987,6170,3639,1620,2684,620,524,215,937,519,559,
35,6530,4402,5834,3854,1564,2724,567,445,208,1016,654,235,
36,5472,4010,5250,4050,1340,2356,504,390,169,866,564,508,
37,6504,4284,5911,4420,1371,2660,567,485,179,965,665,661,
38,6187,4104,6052,4541,1604,2595,639,495,176,977,540,669,
39,6509,4750,6060,4580,1603,2700,629,493,185,937,546,673,
40,7149,4536,5848,4802,1502,2815,671,506,190,906,610,602,
41,7586,4462,6112,4474,1481,1537,672,538,103,980,548,608,2
42,8150,4574,5755,4741,1551,2387,806,533,195,992,581,690,17
43,8451,4317,6147,4923,1521,2627,1094,592,171,1000,585,640,117
44,8279,4774,6646,5788,1565,2694,913,679,201,1012,599,657,150
45,6763,3978,6856,5767,1615,2832,984,702,170,1062,591,599,222
46,3603,1819,2688,1610,647,1165,385,238,103,393,231,252,176
